Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
05/07/2023 17:20:48:614;345.997;8.01102e-307;8.01102e-307;;;0.0896004;8.01102e-307;8.01102e-307;;;30.9892;8.01102e-307;8.01102e-307
05/07/2023 17:20:49:655;345.997;1.29061e-306;1.29061e-306;;;0.0873523;1.29061e-306;1.29061e-306;;;30.2893;1.29061e-306;1.29061e-306
05/07/2023 17:20:49:658;345.997;1.24611e-306;1.24611e-306;;;0.0873523;1.24611e-306;1.24611e-306;;;30.2893;1.24611e-306;1.24611e-306
05/07/2023 17:20:50:651;345.997;1.11261e-306;1.11261e-306;;;0.0894788;1.11261e-306;1.11261e-306;;;30.9565;1.11261e-306;1.11261e-306
05/07/2023 17:20:50:654;345.997;8.01098e-307;8.01098e-307;;;0.0894788;8.01098e-307;8.01098e-307;;;30.9565;8.01098e-307;8.01098e-307
05/07/2023 17:20:51:694;345.997;1.37962e-306;1.37962e-306;;;0.0898651;1.37962e-306;1.37962e-306;;;31.0743;1.37962e-306;1.37962e-306
05/07/2023 17:20:51:697;345.997;1.11261e-306;1.11261e-306;;;0.0898651;1.11261e-306;1.11261e-306;;;31.0743;1.11261e-306;1.11261e-306
05/07/2023 17:20:52:861;345.995;7.56599e-307;7.56599e-307;;;0.088421;7.56599e-307;7.56599e-307;;;30.6639;7.56599e-307;7.56599e-307
05/07/2023 17:20:52:864;345.995;8.01101e-307;8.01101e-307;;;0.088421;8.01101e-307;8.01101e-307;;;30.6639;8.01101e-307;8.01101e-307
05/07/2023 17:20:53:719;345.997;1.502e-307;1.502e-307;;;0.088312;1.502e-307;1.502e-307;;;30.5283;1.502e-307;1.502e-307
05/07/2023 17:20:53:721;345.997;1.50199e-307;1.50199e-307;;;0.088312;1.50199e-307;1.50199e-307;;;30.5283;1.50199e-307;1.50199e-307
05/07/2023 17:20:54:713;345.997;7.56577e-307;7.56577e-307;;;0.0889843;7.56577e-307;7.56577e-307;;;30.8878;7.56577e-307;7.56577e-307
05/07/2023 17:20:54:717;345.997;1.3796e-306;1.3796e-306;;;0.0889843;1.3796e-306;1.3796e-306;;;30.8878;1.3796e-306;1.3796e-306
05/07/2023 17:20:55:772;345.998;1.60217e-306;1.60217e-306;;;0.0891738;1.60217e-306;1.60217e-306;;;30.8637;1.60217e-306;1.60217e-306
05/07/2023 17:20:55:775;345.998;1.3796e-306;1.3796e-306;;;0.0891738;1.3796e-306;1.3796e-306;;;30.8637;1.3796e-306;1.3796e-306
05/07/2023 17:20:56:937;345.997;7.56591e-307;7.56591e-307;;;0.0893296;7.56591e-307;7.56591e-307;;;30.977;7.56591e-307;7.56591e-307
05/07/2023 17:20:56:941;345.997;1.33512e-306;1.33512e-306;;;0.0893296;1.33512e-306;1.33512e-306;;;30.977;1.33512e-306;1.33512e-306
