Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
07/07/2023 14:19:06:553,346.031,1.24611e-306,1.24611e-306,,,-16.578,1.24611e-306,1.24611e-306,,,-5688.88,1.24611e-306,1.24611e-306
07/07/2023 14:19:07:558,346.034,1.11261e-306,1.11261e-306,,,-5.87969,1.11261e-306,1.11261e-306,,,-2034.37,1.11261e-306,1.11261e-306
07/07/2023 14:19:08:594,346.036,8.01098e-307,8.01098e-307,,,-5.8779,8.01098e-307,8.01098e-307,,,-2033.76,8.01098e-307,8.01098e-307
07/07/2023 14:19:09:589,346.036,1.37962e-306,1.37962e-306,,,-5.8781,1.37962e-306,1.37962e-306,,,-2033.83,1.37962e-306,1.37962e-306
07/07/2023 14:19:10:608,346.038,1.11261e-306,1.11261e-306,,,-5.87713,1.11261e-306,1.11261e-306,,,-2033.51,1.11261e-306,1.11261e-306
07/07/2023 14:19:11:611,346.039,7.56599e-307,7.56599e-307,,,-5.87744,7.56599e-307,7.56599e-307,,,-2033.63,7.56599e-307,7.56599e-307
07/07/2023 14:19:12:658,346.041,8.01101e-307,8.01101e-307,,,-5.87686,8.01101e-307,8.01101e-307,,,-2033.44,8.01101e-307,8.01101e-307
07/07/2023 14:19:13:638,346.042,1.502e-307,1.502e-307,,,-5.87705,1.502e-307,1.502e-307,,,-2033.51,1.502e-307,1.502e-307
07/07/2023 14:19:14:677,346.045,1.50199e-307,1.50199e-307,,,-5.87706,1.50199e-307,1.50199e-307,,,-2033.5,1.50199e-307,1.50199e-307
07/07/2023 14:19:15:677,346.046,7.56577e-307,7.56577e-307,,,-5.87676,7.56577e-307,7.56577e-307,,,-2033.41,7.56577e-307,7.56577e-307
07/07/2023 14:19:16:726,346.047,1.3796e-306,1.3796e-306,,,-5.87708,1.3796e-306,1.3796e-306,,,-2033.54,1.3796e-306,1.3796e-306
07/07/2023 14:19:17:703,346.049,1.60217e-306,1.60217e-306,,,-5.87648,1.60217e-306,1.60217e-306,,,-2033.35,1.60217e-306,1.60217e-306
07/07/2023 14:19:18:734,346.05,1.3796e-306,1.3796e-306,,,-5.87627,1.3796e-306,1.3796e-306,,,-2033.25,1.3796e-306,1.3796e-306
07/07/2023 14:19:19:736,346.053,7.56591e-307,7.56591e-307,,,-5.87614,7.56591e-307,7.56591e-307,,,-2033.19,7.56591e-307,7.56591e-307
07/07/2023 14:19:20:776,346.054,1.33512e-306,1.33512e-306,,,-5.87706,1.33512e-306,1.33512e-306,,,-2033.55,1.33512e-306,1.33512e-306
07/07/2023 14:19:21:779,346.056,9.34606e-307,9.34606e-307,,,-5.87679,9.34606e-307,9.34606e-307,,,-2033.43,9.34606e-307,9.34606e-307
07/07/2023 14:19:22:815,346.057,1.37959e-306,1.37959e-306,,,-5.87649,1.37959e-306,1.37959e-306,,,-2033.4,1.37959e-306,1.37959e-306
07/07/2023 14:19:23:822,346.059,1.50201e-307,1.50201e-307,,,-5.87656,1.50201e-307,1.50201e-307,,,-2033.39,1.50201e-307,1.50201e-307
07/07/2023 14:19:24:835,346.06,4.22784e-307,4.22784e-307,,,-5.87781,4.22784e-307,4.22784e-307,,,-2033.81,4.22784e-307,4.22784e-307
07/07/2023 14:19:25:832,346.062,1.50201e-307,1.50201e-307,,,-5.87659,1.50201e-307,1.50201e-307,,,-2033.43,1.50201e-307,1.50201e-307
07/07/2023 14:19:26:880,346.062,1.502e-307,1.502e-307,,,-5.87633,1.502e-307,1.502e-307,,,-2033.33,1.502e-307,1.502e-307
07/07/2023 14:19:27:881,346.064,1.1126e-306,1.1126e-306,,,-5.87726,1.1126e-306,1.1126e-306,,,-2033.63,1.1126e-306,1.1126e-306
07/07/2023 14:19:28:894,346.066,7.56599e-307,7.56599e-307,,,-5.87679,7.56599e-307,7.56599e-307,,,-2033.5,7.56599e-307,7.56599e-307
07/07/2023 14:19:29:908,346.067,1.33511e-306,1.33511e-306,,,-5.87741,1.33511e-306,1.33511e-306,,,-2033.75,1.33511e-306,1.33511e-306
07/07/2023 14:19:30:947,346.069,1.06811e-306,1.06811e-306,,,-5.8777,1.06811e-306,1.06811e-306,,,-2033.79,1.06811e-306,1.06811e-306
07/07/2023 14:19:31:948,346.069,1.24611e-306,1.24611e-306,,,-5.8766,1.24611e-306,1.24611e-306,,,-2033.45,1.24611e-306,1.24611e-306
07/07/2023 14:19:32:960,346.073,1.50212e-307,1.50212e-307,,,-5.87712,1.50212e-307,1.50212e-307,,,-2033.61,1.50212e-307,1.50212e-307
07/07/2023 14:19:33:967,346.074,1.50212e-307,1.50212e-307,,,-5.87683,1.50212e-307,1.50212e-307,,,-2033.55,1.50212e-307,1.50212e-307
07/07/2023 14:19:35:012,346.076,1.60221e-306,1.60221e-306,,,-5.8769,1.60221e-306,1.60221e-306,,,-2033.59,1.60221e-306,1.60221e-306
07/07/2023 14:19:36:007,346.078,1.7802e-306,1.7802e-306,,,-5.8766,1.7802e-306,1.7802e-306,,,-2033.55,1.7802e-306,1.7802e-306
07/07/2023 14:19:37:035,346.08,1.29061e-306,1.29061e-306,,,-5.87736,1.29061e-306,1.29061e-306,,,-2033.79,1.29061e-306,1.29061e-306
07/07/2023 14:19:38:026,346.08,1.7802e-306,1.7802e-306,,,-5.87773,1.7802e-306,1.7802e-306,,,-2033.96,1.7802e-306,1.7802e-306
07/07/2023 14:19:39:066,346.082,1.50201e-307,1.50201e-307,,,-5.87693,1.50201e-307,1.50201e-307,,,-2033.63,1.50201e-307,1.50201e-307
07/07/2023 14:19:40:068,346.086,1.50202e-307,1.50202e-307,,,-5.87629,1.50202e-307,1.50202e-307,,,-2033.43,1.50202e-307,1.50202e-307
07/07/2023 14:19:41:109,346.085,2.67019e-307,2.67019e-307,,,-5.87728,2.67019e-307,2.67019e-307,,,-2033.8,2.67019e-307,2.67019e-307
07/07/2023 14:19:42:101,346.087,3.22646e-307,3.22646e-307,,,-5.87709,3.22646e-307,3.22646e-307,,,-2033.67,3.22646e-307,3.22646e-307
07/07/2023 14:19:43:122,346.089,3.56032e-307,3.56032e-307,,,-5.87757,3.56032e-307,3.56032e-307,,,-2033.88,3.56032e-307,3.56032e-307
07/07/2023 14:19:44:118,346.089,7.43654e-219,7.43654e-219,,,-5.8774,7.43654e-219,7.43654e-219,,,-2033.83,7.43654e-219,7.43654e-219
07/07/2023 14:19:45:164,346.091,1.02941e-218,1.02941e-218,,,-5.87657,1.02941e-218,1.02941e-218,,,-2033.53,1.02941e-218,1.02941e-218
07/07/2023 14:19:46:144,346.093,1.73391e-221,1.73391e-221,,,-5.87901,1.73391e-221,1.73391e-221,,,-2034.4,1.73391e-221,1.73391e-221
07/07/2023 14:19:47:198,346.095,2.16105e-217,2.16105e-217,,,-5.87694,2.16105e-217,2.16105e-217,,,-2033.7,2.16105e-217,2.16105e-217
07/07/2023 14:19:48:201,346.095,5.32417e-219,5.32417e-219,,,-5.87742,5.32417e-219,5.32417e-219,,,-2033.9,5.32417e-219,5.32417e-219
07/07/2023 14:19:49:263,346.096,3.77807e-220,3.77807e-220,,,-5.87783,3.77807e-220,3.77807e-220,,,-2034.01,3.77807e-220,3.77807e-220
