Datetime;Iset;Igrid;Vgrid;Icharger;Vcharger
30/06/2023 11:06;20;10.4;228.0;20.2;348.4
30/06/2023 11:07;20;10.4;228.1;20.2;348.4
30/06/2023 11:07;20;10.4;228.0;20.2;348.4
30/06/2023 11:07;20;10.4;228.0;20.2;348.4
30/06/2023 11:07;20;10.4;228.0;20.1;348.2
30/06/2023 11:07;20;10.4;227.9;20.2;348.4
30/06/2023 11:07;20;10.5;227.8;20.2;348.6
30/06/2023 11:07;20;10.4;227.8;20.2;348.6
30/06/2023 11:07;20;10.4;228.2;20.2;348.4
30/06/2023 11:07;20;10.4;228.3;20.2;348.6
30/06/2023 11:07;20;10.4;228.2;20.2;348.4
30/06/2023 11:07;20;10.4;228.1;20.2;348.4
30/06/2023 11:07;20;10.4;228.1;20.2;348.6
30/06/2023 11:07;20;10.4;228.0;20.2;348.6
30/06/2023 11:07;20;10.4;228.0;20.2;348.4
30/06/2023 11:07;20;10.5;227.9;20.2;348.6
30/06/2023 11:07;20;10.4;227.9;20.2;348.6
30/06/2023 11:07;20;10.4;228.0;20.2;348.6
30/06/2023 11:07;20;10.4;228.0;20.2;348.6
30/06/2023 11:07;20;10.4;228.0;20.2;348.6
30/06/2023 11:07;20;10.5;227.9;20.2;348.6
30/06/2023 11:07;20;10.4;227.9;20.1;348.6
30/06/2023 11:07;20;10.4;227.9;20.2;348.6
30/06/2023 11:07;20;10.5;227.8;20.2;348.6
30/06/2023 11:07;20;10.4;227.9;20.3;348.6
30/06/2023 11:07;20;10.4;227.8;20.2;348.6
30/06/2023 11:07;20;10.5;227.5;20.3;348.6
30/06/2023 11:07;20;10.5;227.5;20.2;348.6
30/06/2023 11:08;20;10.5;227.5;20.2;348.8
30/06/2023 11:08;20;10.5;227.5;20.2;348.6
30/06/2023 11:08;20;10.5;227.4;20.2;348.6
30/06/2023 11:08;20;10.5;227.4;20.2;348.6
30/06/2023 11:08;20;10.5;227.3;20.2;348.6
30/06/2023 11:08;20;10.5;227.3;20.2;348.8
30/06/2023 11:08;20;10.5;227.4;20.2;348.6
30/06/2023 11:08;20;10.5;227.2;20.2;348.6
30/06/2023 11:08;0;10.5;227.2;20.2;348.8
30/06/2023 11:08;0;0.4;228.7;0.1;347.7
30/06/2023 11:08;0;0.3;228.6;0.1;347.7
30/06/2023 11:08;0;0.3;228.7;0.1;347.7
30/06/2023 11:08;0;0.3;228.6;0.1;347.7
30/06/2023 11:08;0;0.3;228.3;0.1;347.7
30/06/2023 11:08;0;0.3;228.3;0.1;347.7
30/06/2023 11:08;0;0.3;228.3;0.1;347.7
30/06/2023 11:08;0;0.3;228.5;0.1;347.7
30/06/2023 11:08;0;0.3;228.3;0.1;347.5
30/06/2023 11:08;0;0.3;228.3;0.1;347.7
30/06/2023 11:08;0;0.3;228.1;0.1;347.7
30/06/2023 11:08;0;0.3;228.1;0.1;347.7
30/06/2023 11:08;0;0.3;228.0;0.1;347.7
30/06/2023 11:08;0;0.3;228.0;0.1;347.7
30/06/2023 11:08;0;0.3;227.9;0.1;347.7
30/06/2023 11:08;0;0.3;228.0;0.1;347.7
30/06/2023 11:08;0;0.3;227.9;0.1;347.7
30/06/2023 11:09;0;0.3;227.9;0.1;347.7
30/06/2023 11:09;0;0.3;227.8;0.1;347.7
30/06/2023 11:09;0;0.3;227.7;0.1;347.7
30/06/2023 11:09;0;0.3;228.0;0.1;347.7
30/06/2023 11:09;0;0.3;227.9;0.1;347.7
