Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
30/06/2023 11:05:23:653;345.997;1.3796e-306;1.3796e-306;;;0.0872149;1.3796e-306;1.3796e-306;;;30.1567;1.3796e-306;1.3796e-306
30/06/2023 11:05:24:013;345.997;1.60217e-306;1.60217e-306;;;0.0870798;1.60217e-306;1.60217e-306;;;30.3498;1.60217e-306;1.60217e-306
30/06/2023 11:05:24:059;345.997;1.3796e-306;1.3796e-306;;;0.0870798;1.3796e-306;1.3796e-306;;;30.3498;1.3796e-306;1.3796e-306
30/06/2023 11:05:24:424;345.997;7.56591e-307;7.56591e-307;;;0.0876055;7.56591e-307;7.56591e-307;;;29.8532;7.56591e-307;7.56591e-307
30/06/2023 11:05:24:471;345.997;1.33512e-306;1.33512e-306;;;0.0876055;1.33512e-306;1.33512e-306;;;29.8532;1.33512e-306;1.33512e-306
30/06/2023 11:05:24:852;345.997;9.34606e-307;9.34606e-307;;;0.0862518;9.34606e-307;9.34606e-307;;;29.4044;9.34606e-307;9.34606e-307
30/06/2023 11:05:25:053;345.997;1.37959e-306;1.37959e-306;;;0.0862518;1.37959e-306;1.37959e-306;;;29.4044;1.37959e-306;1.37959e-306
30/06/2023 11:05:25:263;345.997;1.50201e-307;1.50201e-307;;;0.0849891;1.50201e-307;1.50201e-307;;;29.4044;1.50201e-307;1.50201e-307
30/06/2023 11:05:25:461;345.997;4.22784e-307;4.22784e-307;;;0.0849891;4.22784e-307;4.22784e-307;;;30.2183;4.22784e-307;4.22784e-307
30/06/2023 11:05:25:671;345.997;1.50201e-307;1.50201e-307;;;0.0849891;1.50201e-307;1.50201e-307;;;30.2183;1.50201e-307;1.50201e-307
30/06/2023 11:05:26:038;345.997;1.502e-307;1.502e-307;;;0.087203;1.502e-307;1.502e-307;;;30.1029;1.502e-307;1.502e-307
30/06/2023 11:05:26:082;345.997;1.1126e-306;1.1126e-306;;;0.087203;1.1126e-306;1.1126e-306;;;30.1029;1.1126e-306;1.1126e-306
30/06/2023 11:05:26:448;345.997;7.56599e-307;7.56599e-307;;;0.0871026;7.56599e-307;7.56599e-307;;;30.1029;7.56599e-307;7.56599e-307
30/06/2023 11:05:26:493;345.998;1.33511e-306;1.33511e-306;;;0.0871026;1.33511e-306;1.33511e-306;;;30.2396;1.33511e-306;1.33511e-306
30/06/2023 11:05:26:861;345.998;1.06811e-306;1.06811e-306;;;0.0871026;1.06811e-306;1.06811e-306;;;30.2396;1.06811e-306;1.06811e-306
30/06/2023 11:05:26:901;345.998;1.24611e-306;1.24611e-306;;;0.0872513;1.24611e-306;1.24611e-306;;;30.0471;1.24611e-306;1.24611e-306
30/06/2023 11:05:27:266;345.997;1.50212e-307;1.50212e-307;;;0.0872513;1.50212e-307;1.50212e-307;;;30.0338;1.50212e-307;1.50212e-307
30/06/2023 11:05:27:312;345.997;1.50212e-307;1.50212e-307;;;0.086846;1.50212e-307;1.50212e-307;;;30.0338;1.50212e-307;1.50212e-307
30/06/2023 11:05:27:671;345.997;1.60221e-306;1.60221e-306;;;0.0867833;1.60221e-306;1.60221e-306;;;30.3442;1.60221e-306;1.60221e-306
30/06/2023 11:05:28:091;345.996;1.7802e-306;1.7802e-306;;;0.0867833;1.7802e-306;1.7802e-306;;;30.3442;1.7802e-306;1.7802e-306
30/06/2023 11:05:28:289;345.996;1.29061e-306;1.29061e-306;;;0.0876626;1.29061e-306;1.29061e-306;;;30.3191;1.29061e-306;1.29061e-306
30/06/2023 11:05:28:497;345.997;1.7802e-306;1.7802e-306;;;0.0876626;1.7802e-306;1.7802e-306;;;30.3399;1.7802e-306;1.7802e-306
30/06/2023 11:05:28:697;345.997;1.50201e-307;1.50201e-307;;;0.0876626;1.50201e-307;1.50201e-307;;;30.3399;1.50201e-307;1.50201e-307
30/06/2023 11:05:28:915;345.997;1.50202e-307;1.50202e-307;;;0.0876627;1.50202e-307;1.50202e-307;;;30.432;1.50202e-307;1.50202e-307
30/06/2023 11:05:29:286;345.997;2.67019e-307;2.67019e-307;;;0.0876627;2.67019e-307;2.67019e-307;;;30.432;2.67019e-307;2.67019e-307
30/06/2023 11:05:29:334;345.997;3.22646e-307;3.22646e-307;;;0.0879176;3.22646e-307;3.22646e-307;;;30.2022;3.22646e-307;3.22646e-307
30/06/2023 11:05:29:694;345.998;3.56032e-307;3.56032e-307;;;0.0879176;3.56032e-307;3.56032e-307;;;30.261;3.56032e-307;3.56032e-307
30/06/2023 11:05:29:740;345.998;7.43654e-219;7.43654e-219;;;0.0873141;7.43654e-219;7.43654e-219;;;30.261;7.43654e-219;7.43654e-219
30/06/2023 11:05:30:125;345.996;1.02941e-218;1.02941e-218;;;0.0873266;1.02941e-218;1.02941e-218;;;30.4125;1.02941e-218;1.02941e-218
30/06/2023 11:05:30:536;345.996;1.73391e-221;1.73391e-221;;;0.0873266;1.73391e-221;1.73391e-221;;;30.4125;1.73391e-221;1.73391e-221
30/06/2023 11:05:30:910;345.996;2.16105e-217;2.16105e-217;;;0.0879023;2.16105e-217;2.16105e-217;;;30.3624;2.16105e-217;2.16105e-217
30/06/2023 11:05:30:959;345.997;5.32417e-219;5.32417e-219;;;0.0879023;5.32417e-219;5.32417e-219;;;30.1569;5.32417e-219;5.32417e-219
30/06/2023 11:05:31:331;345.997;3.77807e-220;3.77807e-220;;;0.0876504;3.77807e-220;3.77807e-220;;;30.1569;3.77807e-220;3.77807e-220
30/06/2023 11:05:31:759;345.996;4.02153e-221;4.02153e-221;;;0.0871898;4.02153e-221;4.02153e-221;;;30.1569;4.02153e-221;4.02153e-221
30/06/2023 11:05:31:963;345.996;1.50598e-307;1.50598e-307;;;0.0871898;1.50598e-307;1.50598e-307;;;30.0133;1.50598e-307;1.50598e-307
