Datetime;Iset;Igrid_avg;Vgrid_avg;Icharger;Vcharger
05/07/2023 18:03;0.0;0.3;231.4;0.1;348.2
05/07/2023 18:03;0.0;0.3;231.4;0.1;348.1
05/07/2023 18:03;0.0;0.3;231.4;0.1;348.1
05/07/2023 18:03;0.0;0.3;231.7;0.1;348.2
05/07/2023 18:03;0.0;0.3;231.9;0.1;348.1
05/07/2023 18:03;0.0;0.3;231.9;0.1;348.2
05/07/2023 18:03;0.0;0.3;231.9;0.1;348.1
05/07/2023 18:03;0.0;0.3;231.8;0.1;348.1
05/07/2023 18:03;0.0;0.3;232.0;0.1;348.1
05/07/2023 18:03;0.0;0.3;232.1;0.1;348.1
