Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
05/07/2023 16:58:58:288,345.997,8.01098e-307,8.01098e-307,,,0.0861284,8.01098e-307,8.01098e-307,,,29.8465,8.01098e-307,8.01098e-307
05/07/2023 16:58:59:099,345.996,1.37962e-306,1.37962e-306,,,0.0889632,1.37962e-306,1.37962e-306,,,30.8896,1.37962e-306,1.37962e-306
05/07/2023 16:58:59:102,345.996,1.11261e-306,1.11261e-306,,,0.0889632,1.11261e-306,1.11261e-306,,,30.8896,1.11261e-306,1.11261e-306
05/07/2023 16:59:00:323,345.995,7.56599e-307,7.56599e-307,,,0.0879166,7.56599e-307,7.56599e-307,,,30.4578,7.56599e-307,7.56599e-307
05/07/2023 16:59:00:326,345.995,8.01101e-307,8.01101e-307,,,0.0879166,8.01101e-307,8.01101e-307,,,30.4578,8.01101e-307,8.01101e-307
05/07/2023 16:59:01:138,345.997,1.502e-307,1.502e-307,,,0.088824,1.502e-307,1.502e-307,,,30.8484,1.502e-307,1.502e-307
05/07/2023 16:59:01:141,345.997,1.50199e-307,1.50199e-307,,,0.088824,1.50199e-307,1.50199e-307,,,30.8484,1.50199e-307,1.50199e-307
05/07/2023 16:59:02:365,345.996,7.56577e-307,7.56577e-307,,,0.0902382,7.56577e-307,7.56577e-307,,,31.2633,7.56577e-307,7.56577e-307
05/07/2023 16:59:02:378,345.996,1.3796e-306,1.3796e-306,,,0.0902382,1.3796e-306,1.3796e-306,,,31.2633,1.3796e-306,1.3796e-306
05/07/2023 16:59:03:384,345.997,1.60217e-306,1.60217e-306,,,0.0888213,1.60217e-306,1.60217e-306,,,30.7085,1.60217e-306,1.60217e-306
05/07/2023 16:59:03:388,345.997,1.3796e-306,1.3796e-306,,,0.0888213,1.3796e-306,1.3796e-306,,,30.7085,1.3796e-306,1.3796e-306
05/07/2023 16:59:04:384,345.996,7.56591e-307,7.56591e-307,,,0.0900827,7.56591e-307,7.56591e-307,,,31.2734,7.56591e-307,7.56591e-307
05/07/2023 16:59:04:391,345.996,1.33512e-306,1.33512e-306,,,0.0900827,1.33512e-306,1.33512e-306,,,31.2734,1.33512e-306,1.33512e-306
05/07/2023 16:59:05:193,345.996,9.34606e-307,9.34606e-307,,,0.0892648,9.34606e-307,9.34606e-307,,,31.0048,9.34606e-307,9.34606e-307
05/07/2023 16:59:05:198,345.996,1.37959e-306,1.37959e-306,,,0.0892648,1.37959e-306,1.37959e-306,,,31.0048,1.37959e-306,1.37959e-306
05/07/2023 16:59:06:596,345.996,1.50201e-307,1.50201e-307,,,0.0899537,1.50201e-307,1.50201e-307,,,31.2008,1.50201e-307,1.50201e-307
05/07/2023 16:59:06:599,345.996,4.22784e-307,4.22784e-307,,,0.0899537,4.22784e-307,4.22784e-307,,,31.2008,4.22784e-307,4.22784e-307
05/07/2023 16:59:07:401,345.996,1.50201e-307,1.50201e-307,,,0.0900784,1.50201e-307,1.50201e-307,,,31.2371,1.50201e-307,1.50201e-307
05/07/2023 16:59:07:404,345.996,1.502e-307,1.502e-307,,,0.0900784,1.502e-307,1.502e-307,,,31.2371,1.502e-307,1.502e-307
05/07/2023 16:59:08:446,345.996,1.1126e-306,1.1126e-306,,,0.0882169,1.1126e-306,1.1126e-306,,,30.5141,1.1126e-306,1.1126e-306
05/07/2023 16:59:08:453,345.996,7.56599e-307,7.56599e-307,,,0.0882169,7.56599e-307,7.56599e-307,,,30.5141,7.56599e-307,7.56599e-307
05/07/2023 16:59:09:259,345.998,1.33511e-306,1.33511e-306,,,0.0901272,1.33511e-306,1.33511e-306,,,30.9429,1.33511e-306,1.33511e-306
05/07/2023 16:59:09:263,345.998,1.06811e-306,1.06811e-306,,,0.0901272,1.06811e-306,1.06811e-306,,,30.9429,1.06811e-306,1.06811e-306
05/07/2023 16:59:10:463,345.996,1.24611e-306,1.24611e-306,,,0.089789,1.24611e-306,1.24611e-306,,,30.9839,1.24611e-306,1.24611e-306
05/07/2023 16:59:10:471,345.996,1.50212e-307,1.50212e-307,,,0.089789,1.50212e-307,1.50212e-307,,,30.9839,1.50212e-307,1.50212e-307
05/07/2023 16:59:11:497,345.997,1.50212e-307,1.50212e-307,,,0.0887768,1.50212e-307,1.50212e-307,,,30.7279,1.50212e-307,1.50212e-307
05/07/2023 16:59:11:503,345.997,1.60221e-306,1.60221e-306,,,0.0887768,1.60221e-306,1.60221e-306,,,30.7279,1.60221e-306,1.60221e-306
05/07/2023 16:59:12:516,345.995,1.7802e-306,1.7802e-306,,,0.0901434,1.7802e-306,1.7802e-306,,,31.2113,1.7802e-306,1.7802e-306
