Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
07/07/2023 13:28:40:903;345.997;1.50199e-307;1.50199e-307;;;0.0899202;1.50199e-307;1.50199e-307;;;31.201;1.50199e-307;1.50199e-307
07/07/2023 13:28:41:269;345.996;7.56577e-307;7.56577e-307;;;0.0914327;7.56577e-307;7.56577e-307;;;31.7153;7.56577e-307;7.56577e-307
07/07/2023 13:28:41:463;345.996;1.3796e-306;1.3796e-306;;;0.0914327;1.3796e-306;1.3796e-306;;;31.7153;1.3796e-306;1.3796e-306
07/07/2023 13:28:41:676;345.996;1.60217e-306;1.60217e-306;;;0.0918643;1.60217e-306;1.60217e-306;;;31.7866;1.60217e-306;1.60217e-306
07/07/2023 13:28:41:881;345.996;1.3796e-306;1.3796e-306;;;0.0918643;1.3796e-306;1.3796e-306;;;31.7866;1.3796e-306;1.3796e-306
07/07/2023 13:28:42:105;345.996;7.56591e-307;7.56591e-307;;;0.0918643;7.56591e-307;7.56591e-307;;;31.7665;7.56591e-307;7.56591e-307
07/07/2023 13:28:42:467;345.997;1.33512e-306;1.33512e-306;;;0.0916896;1.33512e-306;1.33512e-306;;;31.7522;1.33512e-306;1.33512e-306
07/07/2023 13:28:42:516;345.997;9.34606e-307;9.34606e-307;;;0.0916896;9.34606e-307;9.34606e-307;;;31.7522;9.34606e-307;9.34606e-307
07/07/2023 13:28:42:882;345.997;1.37959e-306;1.37959e-306;;;0.0913593;1.37959e-306;1.37959e-306;;;31.7059;1.37959e-306;1.37959e-306
07/07/2023 13:28:43:325;345.997;1.50201e-307;1.50201e-307;;;0.0915295;1.50201e-307;1.50201e-307;;;31.6907;1.50201e-307;1.50201e-307
07/07/2023 13:28:43:687;345.997;4.22784e-307;4.22784e-307;;;0.0915295;4.22784e-307;4.22784e-307;;;31.6584;4.22784e-307;4.22784e-307
07/07/2023 13:28:43:737;345.997;1.50201e-307;1.50201e-307;;;0.0911126;1.50201e-307;1.50201e-307;;;31.4996;1.50201e-307;1.50201e-307
07/07/2023 13:28:44:098;345.997;1.502e-307;1.502e-307;;;0.0911126;1.502e-307;1.502e-307;;;31.4996;1.502e-307;1.502e-307
07/07/2023 13:28:44:137;345.997;1.1126e-306;1.1126e-306;;;0.0914666;1.1126e-306;1.1126e-306;;;31.6643;1.1126e-306;1.1126e-306
07/07/2023 13:28:44:509;345.997;7.56599e-307;7.56599e-307;;;0.0914666;7.56599e-307;7.56599e-307;;;31.6643;7.56599e-307;7.56599e-307
07/07/2023 13:28:44:552;345.997;1.33511e-306;1.33511e-306;;;0.0914666;1.33511e-306;1.33511e-306;;;31.6643;1.33511e-306;1.33511e-306
07/07/2023 13:28:44:920;345.997;1.06811e-306;1.06811e-306;;;0.0910554;1.06811e-306;1.06811e-306;;;31.5575;1.06811e-306;1.06811e-306
07/07/2023 13:28:45:331;345.996;1.24611e-306;1.24611e-306;;;0.0896017;1.24611e-306;1.24611e-306;;;31.0173;1.24611e-306;1.24611e-306
07/07/2023 13:28:45:538;345.996;1.50212e-307;1.50212e-307;;;0.0896017;1.50212e-307;1.50212e-307;;;31.0173;1.50212e-307;1.50212e-307
07/07/2023 13:28:45:796;345.997;1.50212e-307;1.50212e-307;;;0.0914527;1.50212e-307;1.50212e-307;;;31.6325;1.50212e-307;1.50212e-307
07/07/2023 13:28:45:946;345.997;1.60221e-306;1.60221e-306;;;0.0914527;1.60221e-306;1.60221e-306;;;31.6325;1.60221e-306;1.60221e-306
07/07/2023 13:28:46:153;345.997;1.7802e-306;1.7802e-306;;;0.0910591;1.7802e-306;1.7802e-306;;;31.5356;1.7802e-306;1.7802e-306
07/07/2023 13:28:46:523;345.997;1.29061e-306;1.29061e-306;;;0.0910591;1.29061e-306;1.29061e-306;;;31.5356;1.29061e-306;1.29061e-306
07/07/2023 13:28:46:563;345.997;1.7802e-306;1.7802e-306;;;0.0910591;1.7802e-306;1.7802e-306;;;31.4404;1.7802e-306;1.7802e-306
07/07/2023 13:28:46:769;345.997;1.50201e-307;1.50201e-307;;;0.0907215;1.50201e-307;1.50201e-307;;;31.4145;1.50201e-307;1.50201e-307
07/07/2023 13:28:46:983;345.997;1.50202e-307;1.50202e-307;;;0.0907215;1.50202e-307;1.50202e-307;;;31.4145;1.50202e-307;1.50202e-307
