Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
29/06/2023 16:09:04:470,346.146,9.15731e-283,9.15731e-283,,,-16.1662,9.15731e-283,9.15731e-283,,,-5595.69,9.15731e-283,9.15731e-283
29/06/2023 16:09:05:276,346.148,4.30845e-282,4.30845e-282,,,-16.1703,4.30845e-282,4.30845e-282,,,-5596.82,4.30845e-282,4.30845e-282
29/06/2023 16:09:06:325,346.151,2.58465e-282,2.58465e-282,,,-16.1697,2.58465e-282,2.58465e-282,,,-5596.65,2.58465e-282,2.58465e-282
29/06/2023 16:09:07:312,346.154,1.45371e-282,1.45371e-282,,,-16.0241,1.45371e-282,1.45371e-282,,,-5544.61,1.45371e-282,1.45371e-282
29/06/2023 16:09:08:346,346.158,9.69512e-283,9.69512e-283,,,-15.8499,9.69512e-283,9.69512e-283,,,-5486.17,9.69512e-283,9.69512e-283
29/06/2023 16:09:09:170,346.16,9.15714e-283,9.15714e-283,,,-15.8515,9.15714e-283,9.15714e-283,,,-5486.68,9.15714e-283,9.15714e-283
29/06/2023 16:09:10:558,346.166,1.5031e-307,1.5031e-307,,,-13.1281,1.5031e-307,1.5031e-307,,,-4543.94,1.5031e-307,1.5031e-307
29/06/2023 16:09:11:368,346.168,1.50307e-307,1.50307e-307,,,-13.1277,1.50307e-307,1.50307e-307,,,-4543.97,1.50307e-307,1.50307e-307
29/06/2023 16:09:12:611,346.169,1.46323e-261,1.46323e-261,,,-14.1648,1.46323e-261,1.46323e-261,,,-4940.41,1.46323e-261,1.46323e-261
29/06/2023 16:09:13:407,346.168,1.98783e-262,1.98783e-262,,,-19.9745,1.98783e-262,1.98783e-262,,,-6914.97,1.98783e-262,1.98783e-262
29/06/2023 16:09:14:447,346.171,1.50402e-307,1.50402e-307,,,-19.9894,1.50402e-307,1.50402e-307,,,-6919.37,1.50402e-307,1.50402e-307
29/06/2023 16:09:15:443,346.174,1.8443e-261,1.8443e-261,,,-19.9901,1.8443e-261,1.8443e-261,,,-6919.62,1.8443e-261,1.8443e-261
29/06/2023 16:09:16:480,346.179,1.46323e-261,1.46323e-261,,,-19.9934,1.46323e-261,1.46323e-261,,,-6920.88,1.46323e-261,1.46323e-261
29/06/2023 16:09:17:480,346.181,4.76967e-262,4.76967e-262,,,-19.9921,4.76967e-262,4.76967e-262,,,-6920.62,4.76967e-262,4.76967e-262
29/06/2023 16:09:18:499,346.185,1.82909e-262,1.82909e-262,,,-19.9919,1.82909e-262,1.82909e-262,,,-6920.53,1.82909e-262,1.82909e-262
29/06/2023 16:09:19:497,346.186,3.65814e-262,3.65814e-262,,,-19.9907,3.65814e-262,3.65814e-262,,,-6920.13,3.65814e-262,3.65814e-262
29/06/2023 16:09:20:720,346.192,7.63382e-262,7.63382e-262,,,-19.99,7.63382e-262,7.63382e-262,,,-6920.09,7.63382e-262,7.63382e-262
29/06/2023 16:09:21:352,346.194,1.50408e-307,1.50408e-307,,,-19.9924,1.50408e-307,1.50408e-307,,,-6920.97,1.50408e-307,1.50408e-307
29/06/2023 16:09:22:556,346.199,8.14921e-261,8.14921e-261,,,-19.9922,8.14921e-261,8.14921e-261,,,-6920.92,8.14921e-261,8.14921e-261
29/06/2023 16:09:23:384,346.203,1.50408e-307,1.50408e-307,,,-19.9922,1.50408e-307,1.50408e-307,,,-6921.02,1.50408e-307,1.50408e-307
29/06/2023 16:09:24:786,346.205,1.50403e-307,1.50403e-307,,,-19.992,1.50403e-307,1.50403e-307,,,-6921.07,1.50403e-307,1.50403e-307
29/06/2023 16:09:25:585,346.21,8.34431e-308,8.34431e-308,,,-19.9913,8.34431e-308,8.34431e-308,,,-6920.88,8.34431e-308,8.34431e-308
29/06/2023 16:09:26:812,346.214,8.34487e-308,8.34487e-308,,,-19.9922,8.34487e-308,8.34487e-308,,,-6921.27,8.34487e-308,8.34487e-308
29/06/2023 16:09:27:447,346.216,8.34431e-308,8.34431e-308,,,-19.9914,8.34431e-308,8.34431e-308,,,-6921.09,8.34431e-308,8.34431e-308
29/06/2023 16:09:28:673,346.222,8.34551e-308,8.34551e-308,,,-19.9932,8.34551e-308,8.34551e-308,,,-6921.77,8.34551e-308,8.34551e-308
29/06/2023 16:09:29:480,346.225,8.01067e-307,8.01067e-307,,,-19.9917,8.01067e-307,8.01067e-307,,,-6921.39,8.01067e-307,8.01067e-307
29/06/2023 16:09:30:891,346.228,1.78021e-306,1.78021e-306,,,-19.9941,1.78021e-306,1.78021e-306,,,-6922.38,1.78021e-306,1.78021e-306
29/06/2023 16:09:31:515,346.232,4.52075e-302,4.52075e-302,,,-19.9919,4.52075e-302,4.52075e-302,,,-6921.57,4.52075e-302,4.52075e-302
29/06/2023 16:09:32:914,346.236,4.52076e-302,4.52076e-302,,,-19.9903,4.52076e-302,4.52076e-302,,,-6921.2,4.52076e-302,4.52076e-302
29/06/2023 16:09:33:726,346.24,4.52075e-302,4.52075e-302,,,-19.9933,4.52075e-302,4.52075e-302,,,-6922.26,4.52075e-302,4.52075e-302
29/06/2023 16:09:34:776,346.244,1.29071e-306,1.29071e-306,,,-19.9915,1.29071e-306,1.29071e-306,,,-6921.69,1.29071e-306,1.29071e-306
29/06/2023 16:09:35:572,346.247,6.19806e-303,6.19806e-303,,,-19.9918,6.19806e-303,6.19806e-303,,,-6921.85,6.19806e-303,6.19806e-303
29/06/2023 16:09:36:796,346.251,2.38967e-297,2.38967e-297,,,-19.9932,2.38967e-297,2.38967e-297,,,-6922.42,2.38967e-297,2.38967e-297
29/06/2023 16:09:37:605,346.254,4.3613e-289,4.3613e-289,,,-19.9911,4.3613e-289,4.3613e-289,,,-6921.7,4.3613e-289,4.3613e-289
29/06/2023 16:09:38:803,346.258,8.34844e-308,8.34844e-308,,,-19.9904,8.34844e-308,8.34844e-308,,,-6921.56,8.34844e-308,8.34844e-308
29/06/2023 16:09:39:818,346.262,8.34844e-308,8.34844e-308,,,-19.9919,8.34844e-308,8.34844e-308,,,-6922.19,8.34844e-308,8.34844e-308
29/06/2023 16:09:41:036,346.267,1.74452e-288,1.74452e-288,,,-19.9948,1.74452e-288,1.74452e-288,,,-6923.13,1.74452e-288,1.74452e-288
29/06/2023 16:09:41:842,346.27,2.36179e-288,2.36179e-288,,,-19.9919,2.36179e-288,2.36179e-288,,,-6922.32,2.36179e-288,2.36179e-288
29/06/2023 16:09:42:871,346.273,3.49274e-288,3.49274e-288,,,-19.9918,3.49274e-288,3.49274e-288,,,-6922.6,3.49274e-288,3.49274e-288
29/06/2023 16:09:43:878,346.277,2.97773e-288,2.97773e-288,,,-19.9913,2.97773e-288,2.97773e-288,,,-6922.31,2.97773e-288,2.97773e-288
29/06/2023 16:09:44:908,346.282,2.87485e-288,2.87485e-288,,,-19.9924,2.87485e-288,2.87485e-288,,,-6922.79,2.87485e-288,2.87485e-288
29/06/2023 16:09:45:901,346.284,2.97773e-288,2.97773e-288,,,-19.9914,2.97773e-288,2.97773e-288,,,-6922.44,2.97773e-288,2.97773e-288
29/06/2023 16:09:46:947,346.289,4.45541e-308,4.45541e-308,,,-19.9952,4.45541e-308,4.45541e-308,,,-6924,4.45541e-308,4.45541e-308
29/06/2023 16:09:47:938,346.291,6.5675e-286,6.5675e-286,,,-19.9935,6.5675e-286,6.5675e-286,,,-6923.36,6.5675e-286,6.5675e-286
29/06/2023 16:09:49:160,346.296,1.74613e-288,1.74613e-288,,,-19.992,1.74613e-288,1.74613e-288,,,-6923.02,1.74613e-288,1.74613e-288
29/06/2023 16:09:49:963,346.299,1.24611e-306,1.24611e-306,,,-19.9916,1.24611e-306,1.24611e-306,,,-6922.92,1.24611e-306,1.24611e-306
29/06/2023 16:09:51:190,346.303,2.31421e-306,2.31421e-306,,,-19.9917,2.31421e-306,2.31421e-306,,,-6923.07,2.31421e-306,2.31421e-306
29/06/2023 16:09:51:808,346.305,1.6022e-306,1.6022e-306,,,-19.992,1.6022e-306,1.6022e-306,,,-6923.21,1.6022e-306,1.6022e-306
29/06/2023 16:09:53:221,346.31,1.02361e-306,1.02361e-306,,,-19.9918,1.02361e-306,1.02361e-306,,,-6923.28,1.02361e-306,1.02361e-306
29/06/2023 16:09:54:030,346.311,1.69119e-306,1.69119e-306,,,-19.9908,1.69119e-306,1.69119e-306,,,-6923.11,1.69119e-306,1.69119e-306
29/06/2023 16:09:55:040,346.317,7.566e-307,7.566e-307,,,-19.9921,7.566e-307,7.566e-307,,,-6923.5,7.566e-307,7.566e-307
29/06/2023 16:09:56:063,346.317,1.78021e-306,1.78021e-306,,,-19.9916,1.78021e-306,1.78021e-306,,,-6923.42,1.78021e-306,1.78021e-306
29/06/2023 16:09:57:091,346.323,7.56594e-307,7.56594e-307,,,-19.9927,7.56594e-307,7.56594e-307,,,-6923.82,7.56594e-307,7.56594e-307
