Datetime,Building Load (kWh),PV (kWh),Price (Euros/kWh),EV2 (A),EV2 (kW),EV2 (kWh),EV0 (A),EV0 (kW),EV0 (kWh),EV3 (A),EV3 (kW),EV3 (kWh),EV1 (A),EV1 (kW),EV1 (kWh)
2022-03-21 11:20:00,14.425999999999997,-11.86,0.1928,20.0,6.308000063078057,-1.2371898478921283e-11,20,6.308000063068233,-7.866802363675666e-11,20,6.308000061155287,1.4172240357349308e-10,14.97,4.722040132976225,-1.3556667276188806e-14
2022-03-21 11:25:00,13.919200000000002,-11.9312,0.1928,20.0,6.308000063078205,-1.2030266043352608e-11,20,6.308000063068578,-7.66258578370976e-11,20,6.308000063077341,-1.782871157846915e-11,20.0,6.308000008597764,-6.296757523527032e-12
2022-03-21 11:30:00,13.762199999999996,-11.9026,0.1928,20.0,6.308000063078257,-1.1680696509487267e-11,20,6.308000063068884,-7.457984169593169e-11,20,6.308000063077413,-1.735274456961391e-11,20.0,6.307964806119908,-2.5873991067747812e-14
2022-03-21 11:35:00,13.674000000000005,-11.8156,0.1928,20.0,6.3080000630783095,-1.1331119781758824e-11,20,6.308000063069187,-7.253280393405623e-11,20,6.308000063077484,-1.6876422220595508e-11,6.0,1.892399981901018,-5.251073017445033e-12
2022-03-21 11:40:00,14.437200000000004,-11.9362,0.1928,20.0,6.308000063078363,-1.0981343276943848e-11,20,6.3080000630694935,-7.048505190460834e-11,20,6.308000063077555,-1.639994575370638e-11,6.0,1.892399981639368,-1.65190631298459e-09
2022-03-21 11:45:00,17.2266,-12.0186,0.1928,20.0,6.308000063078415,-1.0631279131125244e-11,20,6.308000063069801,-6.8436838958777e-11,20,6.3080000630776265,-1.592357088015378e-11,6.0,1.8923999819143829,5.913231450864725e-10
2022-03-21 11:50:00,15.002599999999996,-11.9974,0.1928,20.0,6.308000063078468,-1.028106479217836e-11,20,6.308000063070105,-6.638760905542702e-11,20,6.308000063077698,-1.544666322212174e-11,20.0,6.308000061269836,-1.2145633431292816e-08
2022-03-21 11:55:00,13.6548,-11.8688,0.1928,20.0,6.308000063078519,-9.930670545900192e-12,20,6.30800006307041,-6.433759360093859e-11,20,6.308000063077768,-1.4969662802352386e-11,20.0,6.308000061300161,-1.1942259480109468e-08
2022-03-21 12:00:00,14.829599999999996,-11.916,0.1745,20.0,6.308000063078569,-9.579943897271006e-12,20,6.3080000630707165,-6.228689058276176e-11,20,6.308000063077839,-1.4492539972459106e-11,20.0,6.3080000613305405,-1.1738846478799324e-08
2022-03-21 12:05:00,14.692999999999998,-11.9514,0.1745,20.0,6.308000063078624,-9.229416538221038e-12,20,6.308000063071022,-6.023524049073282e-11,20,6.308000063077911,-1.4015267873792646e-11,20.0,6.3080000613574345,-1.1535104722896749e-08
